,n_req,timestamp,stations
622,235,2012-01-07,24
623,97,2012-01-07,25
624,893,2012-01-07,26
625,113,2012-01-07,34
626,274,2012-01-07,35
627,292,2012-01-07,39
628,921,2012-01-07,47
629,46,2012-01-07,55
630,280,2013-01-07,3
631,24,2013-01-07,8
632,510,2013-01-07,24
633,226,2013-01-07,25
634,1658,2013-01-07,26
635,174,2013-01-07,34
636,236,2013-01-07,35
637,386,2013-01-07,39
638,1694,2013-01-07,47
639,145,2013-01-07,55
640,345,2014-01-07,3
641,30,2014-01-07,8
642,729,2014-01-07,24
643,381,2014-01-07,25
644,3718,2014-01-07,26
645,295,2014-01-07,34
646,364,2014-01-07,35
647,1092,2014-01-07,39
648,3343,2014-01-07,47
649,162,2014-01-07,55
650,295,2015-01-07,3
651,36,2015-01-07,8
652,592,2015-01-07,24
653,253,2015-01-07,25
654,2937,2015-01-07,26
655,260,2015-01-07,34
656,360,2015-01-07,35
657,956,2015-01-07,39
658,2567,2015-01-07,47
659,151,2015-01-07,55
660,282,2016-01-07,3
661,42,2016-01-07,8
662,542,2016-01-07,24
663,284,2016-01-07,25
664,1977,2016-01-07,26
665,262,2016-01-07,34
666,479,2016-01-07,35
667,650,2016-01-07,39
668,1818,2016-01-07,47
669,93,2016-01-07,55
670,182,2017-01-07,3
671,36,2017-01-07,8
672,290,2017-01-07,24
673,177,2017-01-07,25
674,2219,2017-01-07,26
675,209,2017-01-07,34
676,232,2017-01-07,35
677,566,2017-01-07,39
678,1616,2017-01-07,47
679,84,2017-01-07,55
680,370,2018-01-07,3
681,36,2018-01-07,8
682,629,2018-01-07,24
683,336,2018-01-07,25
684,3243,2018-01-07,26
685,287,2018-01-07,34
686,382,2018-01-07,35
687,1174,2018-01-07,39
688,2829,2018-01-07,47
689,201,2018-01-07,55
690,424,2019-01-07,3
691,23,2019-01-07,8
692,585,2019-01-07,24
693,336,2019-01-07,25
694,2659,2019-01-07,26
695,274,2019-01-07,34
696,467,2019-01-07,35
697,642,2019-01-07,39
698,2502,2019-01-07,47
699,128,2019-01-07,55
700,219,2010-01-08,3
701,34,2010-01-08,8
702,369,2010-01-08,24
703,211,2010-01-08,25
704,1774,2010-01-08,26
705,166,2010-01-08,34
706,279,2010-01-08,35
707,538,2010-01-08,39
708,1599,2010-01-08,47
709,75,2010-01-08,55
710,147,2011-01-08,3
711,15,2011-01-08,8
712,227,2011-01-08,24
713,89,2011-01-08,25
714,1393,2011-01-08,26
715,139,2011-01-08,34
716,215,2011-01-08,35
717,418,2011-01-08,39
718,1142,2011-01-08,47
719,70,2011-01-08,55
720,168,2012-01-08,3
721,9,2012-01-08,8
722,213,2012-01-08,24
723,129,2012-01-08,25
724,887,2012-01-08,26
725,84,2012-01-08,34
726,163,2012-01-08,35
727,320,2012-01-08,39
728,889,2012-01-08,47
729,40,2012-01-08,55
730,262,2013-01-08,3
731,20,2013-01-08,8
732,521,2013-01-08,24
733,223,2013-01-08,25
734,1778,2013-01-08,26
735,177,2013-01-08,34
736,240,2013-01-08,35
737,463,2013-01-08,39
738,1619,2013-01-08,47
739,104,2013-01-08,55
740,500,2014-01-08,3
741,50,2014-01-08,8
742,791,2014-01-08,24
743,322,2014-01-08,25
744,3478,2014-01-08,26
745,318,2014-01-08,34
746,421,2014-01-08,35
747,985,2014-01-08,39
748,3196,2014-01-08,47
749,142,2014-01-08,55
750,327,2015-01-08,3
751,80,2015-01-08,8
752,663,2015-01-08,24
753,287,2015-01-08,25
754,3880,2015-01-08,26
755,365,2015-01-08,34
756,483,2015-01-08,35
757,1228,2015-01-08,39
758,3173,2015-01-08,47
759,150,2015-01-08,55
760,213,2016-01-08,3
761,26,2016-01-08,8
762,395,2016-01-08,24
763,249,2016-01-08,25
764,1890,2016-01-08,26
765,226,2016-01-08,34
766,462,2016-01-08,35
767,449,2016-01-08,39
768,1849,2016-01-08,47
769,109,2016-01-08,55
770,214,2017-01-08,3
771,31,2017-01-08,8
772,387,2017-01-08,24
773,170,2017-01-08,25
774,2505,2017-01-08,26
775,202,2017-01-08,34
776,290,2017-01-08,35
777,621,2017-01-08,39
778,1885,2017-01-08,47
779,121,2017-01-08,55
780,531,2018-01-08,3
781,47,2018-01-08,8
782,751,2018-01-08,24
783,406,2018-01-08,25
784,3496,2018-01-08,26
785,322,2018-01-08,34
786,493,2018-01-08,35
787,1034,2018-01-08,39
788,3183,2018-01-08,47
789,166,2018-01-08,55
790,443,2019-01-08,3
791,42,2019-01-08,8
792,604,2019-01-08,24
793,405,2019-01-08,25
794,2381,2019-01-08,26
795,221,2019-01-08,34
796,458,2019-01-08,35
797,514,2019-01-08,39
798,2124,2019-01-08,47
799,138,2019-01-08,55
800,170,2010-01-09,3
801,25,2010-01-09,8
802,291,2010-01-09,24
803,121,2010-01-09,25
804,1371,2010-01-09,26
805,95,2010-01-09,34
806,196,2010-01-09,35
807,401,2010-01-09,39
808,1133,2010-01-09,47
809,40,2010-01-09,55
810,96,2011-01-09,3
811,17,2011-01-09,8
812,185,2011-01-09,24
813,143,2011-01-09,25
814,1224,2011-01-09,26
815,135,2011-01-09,34
816,140,2011-01-09,35
817,364,2011-01-09,39
818,1030,2011-01-09,47
819,29,2011-01-09,55
820,240,2012-01-09,3
821,13,2012-01-09,8
822,448,2012-01-09,24
823,201,2012-01-09,25
824,1886,2012-01-09,26
825,168,2012-01-09,34
826,250,2012-01-09,35
827,456,2012-01-09,39
828,1754,2012-01-09,47
829,93,2012-01-09,55
830,225,2013-01-09,3
831,28,2013-01-09,8
832,442,2013-01-09,24
833,239,2013-01-09,25
834,1652,2013-01-09,26
835,163,2013-01-09,34
836,290,2013-01-09,35
837,445,2013-01-09,39
838,1588,2013-01-09,47
839,79,2013-01-09,55
840,376,2014-01-09,3
841,51,2014-01-09,8
842,685,2014-01-09,24
843,335,2014-01-09,25
844,2507,2014-01-09,26
845,258,2014-01-09,34
846,341,2014-01-09,35
847,774,2014-01-09,39
848,2430,2014-01-09,47
849,133,2014-01-09,55
850,242,2015-01-09,3
851,38,2015-01-09,8
852,426,2015-01-09,24
853,254,2015-01-09,25
854,2470,2015-01-09,26
855,237,2015-01-09,34
856,384,2015-01-09,35
857,804,2015-01-09,39
858,2360,2015-01-09,47
